Title,Director,Format,Year,Run Time,Color/B&W,Sound,Aspect Ratio,Spine,Country of Origin,Language,Notes
"3 Penny Opera, The","Pabst, G.W.",DVD,1931,110,B&W,Mono,1.19:1,405,Germany,German,
"39 Steps, The","Hitchcock, Alfred",Blu-Ray,1935,86,B&W,Mono,1.33:1,56,UK,English,
"400 Blows, The","Truffaut, François",Dual-Format,1959,99,B&W,Mono,2.35:1,5,France,French,
8½,"Fellini, Federico",Blu-Ray,1963,138,B&W,Mono,1.85:1,140,"Italy, France","Italian, French, German, English",
Amarcord,"Fellini, Federico",Blu-Ray,1973,123,Color,Mono,1.85:1,4,"Italy, France",Italian,
Andrei Rublev,"Tarkovsky, Andrei",DVD,1966,205,Both,Mono,2.35:1,34,Soviet Union,Russian,
Antichrist,"Von Trier, Lars",DVD,2009,108,Both,Surround,2.35:1,542,"Denmark, France, Germany, Italy, Poland, Sweden",English,
Apart From You,"Naruse, Mikio",DVD,1933,60,B&W,Silent,1.33:1,Eclipse Series 26,Japan,Japanese,Inherited from Chris Jacobs
Army of Shadows,"Melville, Jean-Pierre",Blu-Ray,1969,145,Color,Mono,1.85:1,385,"France, Italy",French,
"Autumn Afternoon, An","Ozu, Yasujiro",Blu-Ray,1962,113,Color,Mono,1.37:1,446,Japan,Japanese,Inherited from Chris Jacobs
"Avventura, L'","Antonioni, Michelangelo",Blu-Ray,1960,143,B&W,Mono,1.85:1,98,Italy,Italian,
Badlands,"Malick, Terrence",Blu-Ray,1973,94,Color,Mono,1.85:1,651,US,English,
Band of Outsiders,"Godard, Jean-Luc",Blu-Ray,1964,95,B&W,Mono,1.33:1,174,France,French,
Barry Lyndon,"Kubrick, Stanley",Blu-Ray,1975,185,Color,Mono,1.66:1,897,"UK, US",English,
Bay of Angels,"Demy, Jacques",Dual-Format,1963,84,B&W,Mono,1.66:1,715,France,French,Essential Jacques Demy
Being John Malkovich,"Jonze, Spike",DVD,1999,113,Color,5.1 Surround,1.85:1,611,US,English,
Black Orpheus,"Camus, Marcel",Blu-Ray,1959,107,Color,Mono,1.33:1,48,Brazil,Portuguese,
Blonde Venus,"Sternberg, Josef von",Blu-Ray,1932,94,B&W,Mono,1.37:1,934,US,"English, German",Dietrich & von Sternberg in Hollywood
Blow Out,"De Palma, Brian",Blu-Ray,1981,108,Color,2.0 Surround,2.40:1,562,US,English,
Blow-Up,"Antonioni, Michelangelo",Blu-Ray,1966,111,Color,Mono,1.85:1,865,"UK, US, Italy",English,
Blue Velvet,"Lynch, David",Blu-Ray,1986,120,Color,5.1 Surround,2.35:1,977,US,English,
Branded to Kill,"Suzuki, Seijun",Blu-Ray,1967,91,B&W,Mono,2.35:1,38,Japan,Japanese,
Brazil,"Gilliam, Terry",Blu-Ray,1958,142,Color,2.0 Surround,1.78:1,51,"UK, US",English,
Breaking the Waves,"Von Trier, Lars",Dual-Format,1996,159,Color,5.1 Surround,2.35:1,705,Denmark,English,
Breathless,"Godard, Jean-Luc",Dual-Format,1960,90,B&W,Mono,1.33:1,408,France,"French, English",
"Cercle Rouge, Le","Melville, Jean-Pierre",DVD,1970,140,Color,Mono,1.85:1,218,"France, Italy",French,
"chambre en ville, Une","Demy, Jacques",Dual-Format,1982,93,Color,2.0 Surround,1.66:1,719,France,French,Essential Jacques Demy
Chasing Amy,"Smith, Kevin",DVD,1997,113,Color,Stereo,1.85:1,75,US,English,
Chimes at Midnight,"Welles, Orson",Blu-Ray,1966,116,B&W,Mono,1.66:1,830,,English,
"Colt Is My Passport, A","Nomura, Takashi",DVD,1967,85,B&W,Mono,2.45:1,Eclipse Series 17,Japan,Japanese,Inherited from Chris Jacobs
Cries And Whispers,"Bergman, Ingmar",Blu-Ray,1972,91,Color,Mono,1.66:1,101,Sweden,Swedish,
Cronos,"del Toro, Guillermo",Blu-Ray,1993,92,Color,2.0 Surround,1.78:1,551,Mexico,"Spanish, English",Trilogía
Cruel Gun Story,"Furukawa, Yakumi",DVD,1964,87,B&W,Mono,2.45:1,Eclipse Series 17,Japan,Japanese,Inherited from Chris Jacobs
Days of Heaven,"Malick, Terrence",Blu-Ray,1978,94,Color,Surround,1.78:1,409,US,English,
"deuxième souffle, Le","Melville, Jean-Pierre",DVD,1966,144,B&W,Mono,1.66:1,448,France,French,
"Devil Is a Woman, The","Sternberg, Josef von",Blu-Ray,1935,79,B&W,Mono,1.37:1,935,US,English,Dietrich & von Sternberg in Hollywood
Dishonored,"Sternberg, Josef von",Blu-Ray,1931,91,B&W,Mono,1.19:1,932,US,English,Dietrich & von Sternberg in Hollywood
"Dolce Vita, La","Fellini, Federico",Blu-Ray,1960,174,B&W,Mono,2.35:1,733,"Italy, France","Italian, English, French, German",
Donkey Skin,"Demy, Jacques",Dual-Format,1970,90,Color,5.1 Surround,1.66:1,718,France,French,Essential Jacques Demy
"Doulos, Le","Melville, Jean-Pierre",DVD,1962,109,B&W,Mono,1.66:1,447,France,French,
"Eclisse, L'","Antonioni, Michelangelo",Dual-Format,1962,126,B&W,Mono,1.85:1,278,Italy,"Italian, English",
